Glass Shift,Coincidences (w/ 1POL + D),S1 (w/ pol + D)
0,315,21700
0.03,120,15000
0.06,165,13600
0.09,343,21500
0.12,67,12700
0.15,230,14200
0.18,249,18900
0.21,125,12900
0.24,286,16700
0.27,154,14100
0.3,195,16300
0.33,253,16500
0.36,135,15100
0.39,244,15300
0.42,196,16200
0.45,180,15400
0.48,219,15700
0.51,170,15600
-0.04,269,19320
-0.07,69,10000
-0.1,299,16700
-0.13,188,17100
-0.16,121,12300
-0.19,294,17400
-0.22,127,15200
-0.25,257,14500
-0.28,195,16600
-0.31,148,14700
-0.34,257,15700
-0.37,173,15700
-0.4,224,15400
-0.43,227,15500
-0.46,148,15700
-0.49,235,15500
-0.52,191,15200
-0.55,184,15600
-0.58,243,15800
,247,16900
,237,15000
,81,9300
,272,
,159,16700
