,0
0,"[[1.62457618 0.02816124]
 [0.20171719 0.01702571]
 [0.40703387 0.01630261]
 [0.4004183  0.01314595]
 [0.40531511 0.0046786 ]
 [0.39995135 0.0082508 ]]"
1,"[[0.61582432 0.00452163]
 [0.42749961 0.00215561]
 [0.33897843 0.00387278]
 [0.33288437 0.00438531]
 [0.17292204 0.00532475]
 [0.21488517 0.00190051]]"
2,"[[0.31199102 0.00367405]
 [0.21119625 0.00883982]
 [0.19373831 0.00603511]
 [0.25358964 0.00544294]
 [0.28804763 0.00297711]
 [0.92578458 0.00958975]]"
3,"[[0.61292628 0.00402679]
 [0.40179376 0.00195091]
 [0.33349652 0.00401967]
 [0.37186535 0.00461986]
 [0.46665623 0.00765541]
 [0.29551734 0.00202453]]"
4,"[[0.31300066 0.00324144]
 [0.40387412 0.01017873]
 [0.31563083 0.00682304]
 [0.28378387 0.00578103]
 [0.29582753 0.00252684]
 [0.42946305 0.00543539]]"
5,"[[0.3006997  0.00583025]
 [0.1752443  0.01536271]
 [0.1959349  0.0106743 ]
 [0.23870764 0.00961115]
 [0.26898342 0.00554373]
 [2.         0.02280957]]"
6,"[[0.65504707 0.00490472]
 [0.4065779  0.00224002]
 [0.29669297 0.00411554]
 [0.30021013 0.00462664]
 [0.25017979 0.00602712]
 [0.28130896 0.00228234]]"
7,"[[0.63360796 0.01103289]
 [0.33040941 0.00430048]
 [0.35245311 0.00896822]
 [0.35505502 0.01019981]
 [0.25614442 0.01207322]
 [0.31507539 0.00462381]]"
8,"[[0.2245706  0.00351439]
 [0.14265126 0.00879336]
 [0.23694395 0.00672241]
 [0.26234138 0.00608116]
 [0.30571159 0.00302204]
 [0.81261462 0.00918376]]"
9,"[[0.54545206 0.00579766]
 [0.37875739 0.00265189]
 [0.32253954 0.00537474]
 [0.28726212 0.00623134]
 [0.31815477 0.00903909]
 [0.32301878 0.00283756]]"
10,"[[0.26557923 0.00324492]
 [0.16489449 0.00751164]
 [0.22974706 0.00549341]
 [0.25456428 0.0049894 ]
 [0.28481673 0.00255747]
 [0.34764434 0.00572537]]"
11,"[[0.33067049 0.00478824]
 [0.25420782 0.01229055]
 [0.23826618 0.0084888 ]
 [0.26923011 0.00758879]
 [0.27197996 0.00353249]
 [0.41371131 0.0075339 ]]"
