[s],CH1[V],CH2[V]
3.07720E-01,1.600E-03,1.000E-01
3.07724E-01,8.000E-04,8.000E-02
3.07728E-01,1.600E-03,1.200E-01
3.07732E-01,2.400E-03,1.200E-01
3.07736E-01,8.000E-04,1.000E-01
3.07740E-01,1.600E-03,1.000E-01
3.07744E-01,8.000E-04,8.000E-02
3.07748E-01,1.600E-03,6.000E-02
3.07752E-01,1.600E-03,8.000E-02
3.07756E-01,1.600E-03,1.000E-01
3.07760E-01,2.400E-03,1.200E-01
3.07764E-01,8.000E-04,8.000E-02
3.07768E-01,8.000E-04,1.000E-01
3.07772E-01,1.600E-03,1.000E-01
3.07776E-01,1.600E-03,1.000E-01
3.07780E-01,1.600E-03,1.400E-01
3.07784E-01,2.400E-03,1.200E-01
3.07788E-01,2.400E-03,1.000E-01
3.07792E-01,1.600E-03,6.000E-02
3.07796E-01,2.400E-03,1.000E-01
3.07800E-01,2.400E-03,1.000E-01
3.07804E-01,1.600E-03,1.000E-01
3.07808E-01,1.600E-03,1.000E-01
3.07812E-01,8.000E-04,6.000E-02
3.07816E-01,2.400E-03,1.200E-01
3.07820E-01,2.400E-03,8.000E-02
3.07824E-01,1.600E-03,1.000E-01
3.07828E-01,1.600E-03,1.200E-01
3.07832E-01,1.600E-03,1.400E-01
3.07836E-01,1.600E-03,1.000E-01
3.07840E-01,1.600E-03,8.000E-02
3.07844E-01,2.400E-03,1.200E-01
3.07848E-01,1.205E-17,1.000E-01
3.07852E-01,2.400E-03,1.200E-01
3.07856E-01,1.205E-17,1.000E-01
3.07860E-01,8.000E-04,1.200E-01
3.07864E-01,1.600E-03,1.200E-01
3.07868E-01,1.600E-03,1.000E-01
3.07872E-01,2.400E-03,1.000E-01
3.07876E-01,1.600E-03,1.000E-01
3.07880E-01,2.400E-03,1.000E-01
3.07884E-01,1.600E-03,1.000E-01
3.07888E-01,1.600E-03,8.000E-02
3.07892E-01,2.400E-03,8.000E-02
3.07896E-01,1.600E-03,8.000E-02
3.07900E-01,1.600E-03,1.000E-01
3.07904E-01,1.600E-03,1.000E-01
3.07908E-01,1.600E-03,1.000E-01
3.07912E-01,8.000E-04,1.000E-01
3.07916E-01,1.600E-03,1.200E-01
3.07920E-01,2.400E-03,1.000E-01
3.07924E-01,1.600E-03,8.000E-02
3.07928E-01,8.000E-04,8.000E-02
3.07932E-01,1.600E-03,1.200E-01
3.07936E-01,2.400E-03,1.000E-01
3.07940E-01,1.600E-03,1.200E-01
3.07944E-01,1.600E-03,1.000E-01
3.07948E-01,3.200E-03,1.200E-01
3.07952E-01,1.600E-03,8.000E-02
3.07956E-01,2.400E-03,1.200E-01
3.07960E-01,8.000E-04,1.400E-01
3.07964E-01,2.400E-03,1.000E-01
3.07968E-01,1.600E-03,8.000E-02
3.07972E-01,8.000E-04,1.200E-01
3.07976E-01,2.400E-03,1.000E-01
3.07980E-01,3.200E-03,1.000E-01
3.07984E-01,1.600E-03,8.000E-02
3.07988E-01,1.600E-03,1.000E-01
3.07992E-01,2.400E-03,8.000E-02
3.07996E-01,8.000E-04,1.200E-01
3.08000E-01,8.000E-04,8.000E-02
3.08004E-01,8.000E-04,1.000E-01
3.08008E-01,1.600E-03,1.000E-01
3.08012E-01,1.600E-03,6.000E-02
3.08016E-01,2.400E-03,1.200E-01
3.08020E-01,1.600E-03,1.000E-01
3.08024E-01,1.600E-03,1.000E-01
3.08028E-01,1.600E-03,1.000E-01
3.08032E-01,2.400E-03,8.000E-02
3.08036E-01,1.600E-03,8.000E-02
3.08040E-01,8.000E-04,6.000E-02
3.08044E-01,8.000E-04,8.000E-02
3.08048E-01,8.000E-04,8.000E-02
3.08052E-01,1.600E-03,1.200E-01
3.08056E-01,2.400E-03,8.000E-02
3.08060E-01,1.600E-03,1.000E-01
3.08064E-01,1.600E-03,8.000E-02
3.08068E-01,8.000E-04,1.000E-01
3.08072E-01,1.600E-03,1.200E-01
3.08076E-01,1.600E-03,1.000E-01
3.08080E-01,2.400E-03,1.400E-01
3.08084E-01,2.400E-03,8.000E-02
3.08088E-01,2.400E-03,1.400E-01
3.08092E-01,8.000E-04,1.000E-01
3.08096E-01,2.400E-03,1.000E-01
3.08100E-01,1.600E-03,6.000E-02
3.08104E-01,8.000E-04,1.000E-01
3.08108E-01,1.600E-03,1.000E-01
3.08112E-01,1.600E-03,8.000E-02
3.08116E-01,8.000E-04,1.200E-01
3.08120E-01,1.600E-03,1.200E-01
3.08124E-01,1.600E-03,1.000E-01
3.08128E-01,8.000E-04,1.200E-01
3.08132E-01,1.600E-03,1.000E-01
3.08136E-01,1.600E-03,1.200E-01
3.08140E-01,1.600E-03,1.000E-01
3.08144E-01,2.400E-03,1.000E-01
3.08148E-01,8.000E-04,1.200E-01
3.08152E-01,2.400E-03,1.000E-01
3.08156E-01,8.000E-04,1.000E-01
3.08160E-01,2.400E-03,1.200E-01
3.08164E-01,1.600E-03,1.000E-01
3.08168E-01,3.200E-03,1.000E-01
3.08172E-01,2.400E-03,1.000E-01
3.08176E-01,1.600E-03,1.200E-01
3.08180E-01,8.000E-04,1.200E-01
3.08184E-01,8.000E-04,8.000E-02
3.08188E-01,1.600E-03,8.000E-02
3.08192E-01,1.600E-03,1.000E-01
3.08196E-01,1.600E-03,1.200E-01
3.08200E-01,8.000E-04,1.200E-01
3.08204E-01,1.600E-03,1.000E-01
3.08208E-01,1.600E-03,1.000E-01
3.08212E-01,1.600E-03,1.000E-01
3.08216E-01,1.600E-03,8.000E-02
3.08220E-01,8.000E-04,1.200E-01
3.08224E-01,8.000E-04,8.000E-02
3.08228E-01,8.000E-04,1.000E-01
3.08232E-01,2.400E-03,6.000E-02
3.08236E-01,1.600E-03,8.000E-02
3.08240E-01,1.600E-03,6.000E-02
3.08244E-01,2.400E-03,1.200E-01
3.08248E-01,1.600E-03,1.400E-01
3.08252E-01,1.600E-03,1.000E-01
3.08256E-01,2.400E-03,8.000E-02
3.08260E-01,1.600E-03,1.200E-01
3.08264E-01,1.600E-03,1.000E-01
3.08268E-01,8.000E-04,1.200E-01
3.08272E-01,1.600E-03,1.000E-01
3.08276E-01,8.000E-04,1.000E-01
3.08280E-01,1.600E-03,1.000E-01
3.08284E-01,1.600E-03,1.000E-01
3.08288E-01,1.600E-03,1.000E-01
3.08292E-01,2.400E-03,1.400E-01
3.08296E-01,2.400E-03,1.000E-01
3.08300E-01,2.400E-03,1.200E-01
3.08304E-01,2.400E-03,8.000E-02
3.08308E-01,2.400E-03,1.200E-01
3.08312E-01,2.400E-03,8.000E-02
3.08316E-01,8.000E-04,8.000E-02
3.08320E-01,1.600E-03,1.200E-01
3.08324E-01,1.600E-03,1.000E-01
3.08328E-01,8.000E-04,1.000E-01
3.08332E-01,1.600E-03,8.000E-02
3.08336E-01,2.400E-03,1.000E-01
3.08340E-01,1.600E-03,1.000E-01
3.08344E-01,1.600E-03,1.000E-01
3.08348E-01,2.400E-03,1.000E-01
3.08352E-01,1.600E-03,1.200E-01
3.08356E-01,1.600E-03,1.000E-01
3.08360E-01,8.000E-04,1.000E-01
3.08364E-01,8.000E-04,1.200E-01
3.08368E-01,2.400E-03,1.200E-01
3.08372E-01,2.400E-03,1.000E-01
3.08376E-01,1.600E-03,1.200E-01
3.08380E-01,2.400E-03,8.000E-02
3.08384E-01,1.600E-03,8.000E-02
3.08388E-01,1.600E-03,1.000E-01
3.08392E-01,1.600E-03,1.000E-01
3.08396E-01,8.000E-04,1.000E-01
3.08400E-01,8.000E-04,1.000E-01
3.08404E-01,1.600E-03,8.000E-02
3.08408E-01,8.000E-04,1.000E-01
3.08412E-01,2.400E-03,8.000E-02
3.08416E-01,1.600E-03,1.200E-01
3.08420E-01,1.600E-03,1.000E-01
3.08424E-01,8.000E-04,1.000E-01
3.08428E-01,8.000E-04,6.000E-02
3.08432E-01,1.600E-03,1.000E-01
3.08436E-01,8.000E-04,1.000E-01
3.08440E-01,1.600E-03,8.000E-02
3.08444E-01,8.000E-04,1.000E-01
3.08448E-01,1.205E-17,1.000E-01
3.08452E-01,1.600E-03,1.200E-01
3.08456E-01,1.600E-03,8.000E-02
3.08460E-01,1.600E-03,1.000E-01
3.08464E-01,8.000E-04,6.000E-02
3.08468E-01,1.205E-17,1.000E-01
3.08472E-01,2.400E-03,8.000E-02
3.08476E-01,1.600E-03,1.000E-01
3.08480E-01,8.000E-04,8.000E-02
3.08484E-01,1.600E-03,1.000E-01
3.08488E-01,8.000E-04,1.200E-01
3.08492E-01,1.600E-03,8.000E-02
3.08496E-01,1.600E-03,6.000E-02
3.08500E-01,1.205E-17,8.000E-02
3.08504E-01,1.600E-03,1.000E-01
3.08508E-01,1.600E-03,1.000E-01
3.08512E-01,1.600E-03,1.200E-01
3.08516E-01,8.000E-04,1.400E-01
3.08520E-01,2.400E-03,1.000E-01
3.08524E-01,2.400E-03,1.000E-01
3.08528E-01,8.000E-04,1.200E-01
3.08532E-01,2.400E-03,1.000E-01
3.08536E-01,1.600E-03,1.000E-01
3.08540E-01,2.400E-03,1.200E-01
3.08544E-01,8.000E-04,8.000E-02
3.08548E-01,2.400E-03,1.000E-01
3.08552E-01,8.000E-04,1.000E-01
3.08556E-01,1.600E-03,1.200E-01
3.08560E-01,8.000E-04,8.000E-02
3.08564E-01,1.600E-03,8.000E-02
3.08568E-01,1.600E-03,1.000E-01
3.08572E-01,2.400E-03,1.000E-01
3.08576E-01,2.400E-03,1.000E-01
3.08580E-01,2.400E-03,1.000E-01
3.08584E-01,8.000E-04,8.000E-02
3.08588E-01,8.000E-04,1.000E-01
3.08592E-01,-8.000E-04,1.000E-01
3.08596E-01,2.400E-03,8.000E-02
3.08600E-01,1.600E-03,8.000E-02
3.08604E-01,8.000E-04,1.200E-01
3.08608E-01,1.600E-03,1.400E-01
3.08612E-01,2.400E-03,1.000E-01
3.08616E-01,2.400E-03,1.200E-01
3.08620E-01,1.600E-03,1.000E-01
3.08624E-01,1.600E-03,1.000E-01
3.08628E-01,1.600E-03,1.000E-01
3.08632E-01,8.000E-04,1.000E-01
