[s],CH1[V],CH2[V]
3.9300E-01,4.000E-04,8.000E-01
3.9310E-01,1.200E-03,7.800E-01
3.9320E-01,1.200E-03,8.200E-01
3.9330E-01,4.000E-04,8.000E-01
3.9340E-01,-4.000E-04,7.800E-01
3.9350E-01,-4.000E-04,7.800E-01
3.9360E-01,4.000E-04,8.000E-01
3.9370E-01,4.000E-04,7.600E-01
3.9380E-01,1.200E-03,8.000E-01
3.9390E-01,4.000E-04,7.600E-01
3.9400E-01,4.000E-04,7.600E-01
3.9410E-01,1.200E-03,7.800E-01
3.9420E-01,4.000E-04,7.800E-01
3.9430E-01,4.000E-04,7.600E-01
3.9440E-01,4.000E-04,7.800E-01
3.9450E-01,4.000E-04,7.800E-01
3.9460E-01,-4.000E-04,7.800E-01
3.9470E-01,-4.000E-04,7.400E-01
3.9480E-01,4.000E-04,8.000E-01
3.9490E-01,1.200E-03,7.800E-01
3.9500E-01,4.000E-04,7.800E-01
3.9510E-01,4.000E-04,7.800E-01
3.9520E-01,4.000E-04,7.600E-01
3.9530E-01,-4.000E-04,7.600E-01
3.9540E-01,-4.000E-04,7.800E-01
3.9550E-01,4.000E-04,7.600E-01
3.9560E-01,4.000E-04,7.800E-01
3.9570E-01,4.000E-04,7.600E-01
3.9580E-01,1.200E-03,7.800E-01
3.9590E-01,4.000E-04,7.800E-01
3.9600E-01,1.200E-03,7.800E-01
3.9610E-01,1.200E-03,7.800E-01
3.9620E-01,4.000E-04,7.800E-01
3.9630E-01,4.000E-04,7.800E-01
3.9640E-01,-4.000E-04,7.600E-01
3.9650E-01,4.000E-04,7.600E-01
3.9660E-01,4.000E-04,8.200E-01
3.9670E-01,-4.000E-04,8.000E-01
3.9680E-01,4.000E-04,7.800E-01
3.9690E-01,4.000E-04,7.600E-01
3.9700E-01,2.000E-03,7.800E-01
3.9710E-01,4.000E-04,7.400E-01
3.9720E-01,4.000E-04,7.800E-01
3.9730E-01,1.200E-03,8.000E-01
3.9740E-01,1.200E-03,7.600E-01
3.9750E-01,-4.000E-04,7.800E-01
3.9760E-01,4.000E-04,7.800E-01
3.9770E-01,1.200E-03,7.600E-01
3.9780E-01,1.200E-03,8.000E-01
3.9790E-01,-4.000E-04,8.000E-01
3.9800E-01,4.000E-04,7.400E-01
3.9810E-01,4.000E-04,7.800E-01
3.9820E-01,4.000E-04,7.600E-01
3.9830E-01,1.200E-03,7.600E-01
3.9840E-01,4.000E-04,7.800E-01
3.9850E-01,4.000E-04,7.800E-01
3.9860E-01,1.200E-03,7.400E-01
3.9870E-01,4.000E-04,7.800E-01
3.9880E-01,4.000E-04,7.200E-01
3.9890E-01,4.000E-04,7.600E-01
3.9900E-01,-4.000E-04,7.800E-01
3.9910E-01,-1.200E-03,7.800E-01
3.9920E-01,1.200E-03,7.800E-01
3.9930E-01,4.000E-04,7.600E-01
3.9940E-01,4.000E-04,7.600E-01
3.9950E-01,4.000E-04,7.600E-01
3.9960E-01,4.000E-04,7.800E-01
3.9970E-01,4.000E-04,7.600E-01
3.9980E-01,4.000E-04,7.600E-01
3.9990E-01,1.200E-03,7.800E-01
4.0000E-01,4.000E-04,7.600E-01
4.0010E-01,-4.000E-04,7.600E-01
4.0020E-01,1.200E-03,7.400E-01
4.0030E-01,-4.000E-04,7.400E-01
4.0040E-01,4.000E-04,7.400E-01
4.0050E-01,4.000E-04,7.400E-01
4.0060E-01,-4.000E-04,7.600E-01
4.0070E-01,4.000E-04,7.600E-01
4.0080E-01,1.200E-03,7.600E-01
4.0090E-01,4.000E-04,7.800E-01
4.0100E-01,4.000E-04,7.400E-01
4.0110E-01,-4.000E-04,7.400E-01
4.0120E-01,4.000E-04,7.600E-01
4.0130E-01,-1.200E-03,7.600E-01
4.0140E-01,4.000E-04,7.400E-01
4.0150E-01,2.000E-03,7.200E-01
4.0160E-01,4.000E-04,7.400E-01
4.0170E-01,-4.000E-04,7.800E-01
4.0180E-01,4.000E-04,7.600E-01
4.0190E-01,-4.000E-04,7.200E-01
