[s],CH1[V],CH2[V]
1.04000E+00,-2.078E-17,-1.200E-01
1.04010E+00,8.000E-04,-1.200E-01
1.04020E+00,8.000E-04,-1.400E-01
1.04030E+00,8.000E-04,-1.200E-01
1.04040E+00,8.000E-04,-1.600E-01
1.04050E+00,-2.078E-17,-1.200E-01
1.04060E+00,8.000E-04,-1.200E-01
1.04070E+00,-2.078E-17,-1.200E-01
1.04080E+00,1.600E-03,-1.400E-01
1.04090E+00,8.000E-04,-1.000E-01
1.04100E+00,2.400E-03,-1.200E-01
1.04110E+00,-2.078E-17,-1.200E-01
1.04120E+00,-2.078E-17,-1.400E-01
1.04130E+00,1.600E-03,-1.400E-01
1.04140E+00,-2.078E-17,-1.200E-01
1.04150E+00,8.000E-04,-1.000E-01
1.04160E+00,8.000E-04,-1.200E-01
1.04170E+00,8.000E-04,-1.200E-01
1.04180E+00,1.600E-03,-1.400E-01
1.04190E+00,-2.078E-17,-1.400E-01
1.04200E+00,8.000E-04,-1.000E-01
1.04210E+00,-2.078E-17,-1.200E-01
1.04220E+00,8.000E-04,-1.200E-01
1.04230E+00,8.000E-04,-1.600E-01
1.04240E+00,-2.078E-17,-1.000E-01
1.04250E+00,-2.078E-17,-1.400E-01
1.04260E+00,8.000E-04,-1.400E-01
1.04270E+00,8.000E-04,-1.400E-01
1.04280E+00,8.000E-04,-1.400E-01
1.04290E+00,1.600E-03,-1.400E-01
1.04300E+00,-2.078E-17,-1.400E-01
1.04310E+00,8.000E-04,-1.400E-01
1.04320E+00,2.400E-03,-1.200E-01
1.04330E+00,1.600E-03,-1.400E-01
1.04340E+00,1.600E-03,-1.400E-01
1.04350E+00,-8.000E-04,-1.200E-01
1.04360E+00,2.400E-03,-1.400E-01
1.04370E+00,-8.000E-04,-1.200E-01
1.04380E+00,1.600E-03,-1.200E-01
1.04390E+00,1.600E-03,-1.000E-01
1.04400E+00,-2.078E-17,-1.200E-01
1.04410E+00,8.000E-04,-1.400E-01
1.04420E+00,8.000E-04,-1.200E-01
1.04430E+00,1.600E-03,-1.400E-01
1.04440E+00,8.000E-04,-1.400E-01
1.04450E+00,8.000E-04,-1.200E-01
1.04460E+00,8.000E-04,-1.200E-01
1.04470E+00,-2.078E-17,-1.200E-01
1.04480E+00,8.000E-04,-1.400E-01
1.04490E+00,1.600E-03,-1.400E-01
1.04500E+00,8.000E-04,-1.200E-01
1.04510E+00,-2.078E-17,-1.400E-01
1.04520E+00,-2.078E-17,-1.800E-01
1.04530E+00,1.600E-03,-1.600E-01
1.04540E+00,-2.078E-17,-1.600E-01
1.04550E+00,-2.078E-17,-1.400E-01
1.04560E+00,-2.078E-17,-1.600E-01
1.04570E+00,8.000E-04,-1.200E-01
1.04580E+00,-8.000E-04,-1.400E-01
1.04590E+00,-8.000E-04,-1.400E-01
1.04600E+00,8.000E-04,-1.600E-01
1.04610E+00,8.000E-04,-1.400E-01
1.04620E+00,8.000E-04,-1.600E-01
1.04630E+00,-2.078E-17,-1.600E-01
1.04640E+00,-2.078E-17,-1.600E-01
1.04650E+00,-2.078E-17,-1.200E-01
1.04660E+00,1.600E-03,-1.200E-01
1.04670E+00,-2.078E-17,-1.400E-01
1.04680E+00,-8.000E-04,-1.400E-01
1.04690E+00,1.600E-03,-1.200E-01
1.04700E+00,8.000E-04,-1.600E-01
1.04710E+00,8.000E-04,-1.200E-01
1.04720E+00,8.000E-04,-1.400E-01
1.04730E+00,8.000E-04,-1.400E-01
1.04740E+00,8.000E-04,-1.600E-01
1.04750E+00,1.600E-03,-1.400E-01
1.04760E+00,2.400E-03,-1.400E-01
1.04770E+00,-2.078E-17,-1.400E-01
1.04780E+00,8.000E-04,-1.600E-01
1.04790E+00,-8.000E-04,-1.600E-01
1.04800E+00,8.000E-04,-1.200E-01
1.04810E+00,8.000E-04,-1.200E-01
1.04820E+00,8.000E-04,-1.400E-01
1.04830E+00,-2.078E-17,-1.600E-01
1.04840E+00,8.000E-04,-1.800E-01
1.04850E+00,8.000E-04,-1.400E-01
1.04860E+00,1.600E-03,-1.600E-01
1.04870E+00,1.600E-03,-1.600E-01
1.04880E+00,-2.078E-17,-1.400E-01
1.04890E+00,-2.078E-17,-1.600E-01
1.04900E+00,8.000E-04,-1.600E-01
1.04910E+00,8.000E-04,-1.200E-01
1.04920E+00,1.600E-03,-1.600E-01
1.04930E+00,1.600E-03,-1.600E-01
1.04940E+00,-2.078E-17,-1.600E-01
1.04950E+00,1.600E-03,-1.800E-01
1.04960E+00,-2.078E-17,-1.600E-01
1.04970E+00,-8.000E-04,-1.400E-01
1.04980E+00,8.000E-04,-1.200E-01
1.04991E+00,-2.078E-17,-1.200E-01
1.05001E+00,-2.078E-17,-1.400E-01
