[s],CH1[V],CH2[V]
-3.5600E-01,4.400E-03,-5.900E-01
-3.5590E-01,3.600E-03,-5.900E-01
-3.5580E-01,2.800E-03,-5.900E-01
-3.5570E-01,3.600E-03,-6.100E-01
-3.5560E-01,4.400E-03,-6.100E-01
-3.5550E-01,4.400E-03,-6.300E-01
-3.5540E-01,2.800E-03,-5.900E-01
-3.5530E-01,4.400E-03,-5.900E-01
-3.5520E-01,4.400E-03,-5.900E-01
-3.5510E-01,4.400E-03,-5.900E-01
-3.5500E-01,4.400E-03,-5.900E-01
-3.5490E-01,5.200E-03,-5.900E-01
-3.5480E-01,4.400E-03,-5.300E-01
-3.5470E-01,3.600E-03,-5.900E-01
-3.5460E-01,3.600E-03,-6.100E-01
-3.5450E-01,5.200E-03,-6.300E-01
-3.5440E-01,5.200E-03,-6.300E-01
-3.5430E-01,3.600E-03,-5.900E-01
-3.5420E-01,4.400E-03,-5.900E-01
-3.5410E-01,4.400E-03,-5.900E-01
-3.5400E-01,3.600E-03,-5.700E-01
-3.5390E-01,2.800E-03,-5.900E-01
-3.5380E-01,4.400E-03,-6.100E-01
-3.5370E-01,4.400E-03,-6.100E-01
-3.5360E-01,3.600E-03,-6.300E-01
-3.5350E-01,3.600E-03,-6.300E-01
-3.5340E-01,4.400E-03,-5.900E-01
-3.5330E-01,4.400E-03,-6.100E-01
-3.5320E-01,2.800E-03,-6.300E-01
-3.5310E-01,4.400E-03,-5.900E-01
-3.5300E-01,2.800E-03,-6.300E-01
-3.5290E-01,4.400E-03,-5.900E-01
-3.5280E-01,4.400E-03,-6.500E-01
-3.5270E-01,3.600E-03,-6.300E-01
-3.5260E-01,3.600E-03,-6.100E-01
-3.5250E-01,3.600E-03,-6.100E-01
-3.5240E-01,4.400E-03,-6.100E-01
-3.5230E-01,4.400E-03,-6.100E-01
-3.5220E-01,4.400E-03,-5.900E-01
-3.5210E-01,4.400E-03,-6.300E-01
-3.5200E-01,4.400E-03,-6.100E-01
-3.5190E-01,4.400E-03,-6.300E-01
-3.5180E-01,4.400E-03,-6.100E-01
-3.5170E-01,3.600E-03,-5.900E-01
-3.5160E-01,4.400E-03,-6.300E-01
-3.5150E-01,3.600E-03,-6.100E-01
-3.5140E-01,3.600E-03,-5.900E-01
-3.5130E-01,4.400E-03,-6.100E-01
-3.5120E-01,4.400E-03,-6.100E-01
-3.5110E-01,4.400E-03,-6.300E-01
-3.5100E-01,4.400E-03,-6.300E-01
-3.5090E-01,4.400E-03,-6.100E-01
-3.5080E-01,2.800E-03,-6.300E-01
-3.5070E-01,3.600E-03,-6.500E-01
-3.5060E-01,4.400E-03,-6.100E-01
-3.5050E-01,2.800E-03,-5.900E-01
-3.5040E-01,4.400E-03,-6.100E-01
-3.5030E-01,4.400E-03,-6.100E-01
-3.5020E-01,4.400E-03,-6.100E-01
-3.5010E-01,3.600E-03,-6.100E-01
-3.5000E-01,4.400E-03,-6.300E-01
-3.4990E-01,3.600E-03,-6.300E-01
-3.4980E-01,2.800E-03,-6.500E-01
-3.4970E-01,5.200E-03,-6.100E-01
-3.4960E-01,4.400E-03,-6.100E-01
-3.4950E-01,4.400E-03,-6.500E-01
-3.4940E-01,4.400E-03,-6.300E-01
-3.4930E-01,4.400E-03,-6.300E-01
-3.4920E-01,4.400E-03,-6.300E-01
-3.4910E-01,4.400E-03,-6.300E-01
-3.4900E-01,2.800E-03,-6.300E-01
-3.4890E-01,4.400E-03,-6.500E-01
-3.4880E-01,4.400E-03,-6.300E-01
-3.4870E-01,4.400E-03,-6.300E-01
-3.4860E-01,4.400E-03,-6.500E-01
-3.4850E-01,4.400E-03,-6.300E-01
-3.4840E-01,3.600E-03,-6.700E-01
-3.4830E-01,4.400E-03,-6.500E-01
-3.4820E-01,3.600E-03,-6.300E-01
-3.4810E-01,4.400E-03,-6.300E-01
-3.4800E-01,4.400E-03,-6.300E-01
-3.4790E-01,4.400E-03,-6.300E-01
-3.4780E-01,3.600E-03,-6.300E-01
-3.4770E-01,4.400E-03,-6.300E-01
-3.4760E-01,4.400E-03,-6.100E-01
-3.4750E-01,4.400E-03,-6.500E-01
-3.4740E-01,4.400E-03,-6.300E-01
-3.4730E-01,4.400E-03,-6.500E-01
