[s],CH1[V],CH2[V]
2.92161E-01,2.400E-03,7.600E-01
2.92165E-01,2.400E-03,7.600E-01
2.92169E-01,2.400E-03,7.600E-01
2.92173E-01,3.200E-03,7.800E-01
2.92177E-01,2.400E-03,7.800E-01
2.92181E-01,3.200E-03,8.000E-01
2.92185E-01,2.400E-03,8.000E-01
2.92189E-01,2.400E-03,8.000E-01
2.92193E-01,2.400E-03,7.600E-01
2.92197E-01,2.400E-03,7.800E-01
2.92201E-01,1.600E-03,7.400E-01
2.92205E-01,3.200E-03,7.400E-01
2.92209E-01,3.200E-03,7.800E-01
2.92213E-01,1.600E-03,7.800E-01
2.92217E-01,2.400E-03,8.000E-01
2.92221E-01,2.400E-03,7.800E-01
2.92225E-01,2.400E-03,7.800E-01
2.92229E-01,3.200E-03,7.400E-01
2.92233E-01,2.400E-03,7.800E-01
2.92237E-01,2.400E-03,7.800E-01
2.92241E-01,1.600E-03,8.000E-01
2.92245E-01,2.400E-03,7.400E-01
2.92249E-01,3.200E-03,7.400E-01
2.92253E-01,3.200E-03,7.800E-01
2.92257E-01,3.200E-03,7.400E-01
2.92261E-01,2.400E-03,7.600E-01
2.92265E-01,3.200E-03,7.400E-01
2.92269E-01,3.200E-03,7.600E-01
2.92273E-01,2.400E-03,7.600E-01
2.92277E-01,2.400E-03,7.800E-01
2.92281E-01,2.400E-03,7.800E-01
2.92285E-01,1.600E-03,7.800E-01
2.92289E-01,8.000E-04,7.600E-01
2.92293E-01,2.400E-03,7.800E-01
2.92297E-01,2.400E-03,7.400E-01
2.92301E-01,1.600E-03,7.800E-01
2.92305E-01,3.200E-03,7.600E-01
2.92309E-01,3.200E-03,8.000E-01
2.92313E-01,1.600E-03,7.600E-01
2.92317E-01,2.400E-03,7.600E-01
2.92321E-01,2.400E-03,7.800E-01
2.92325E-01,2.400E-03,7.400E-01
2.92329E-01,3.200E-03,7.600E-01
2.92333E-01,1.600E-03,7.400E-01
2.92337E-01,2.400E-03,7.800E-01
2.92341E-01,2.400E-03,7.800E-01
2.92345E-01,2.400E-03,7.400E-01
2.92349E-01,3.200E-03,8.000E-01
2.92353E-01,3.200E-03,7.400E-01
2.92357E-01,2.400E-03,8.000E-01
2.92361E-01,2.400E-03,7.800E-01
2.92365E-01,3.200E-03,7.600E-01
2.92369E-01,2.400E-03,7.800E-01
2.92373E-01,2.400E-03,7.600E-01
2.92377E-01,3.200E-03,7.600E-01
2.92381E-01,3.200E-03,8.000E-01
2.92385E-01,3.200E-03,8.000E-01
2.92389E-01,3.200E-03,7.800E-01
2.92393E-01,1.600E-03,7.600E-01
2.92397E-01,4.000E-03,7.400E-01
2.92401E-01,4.000E-03,7.800E-01
2.92405E-01,4.000E-03,7.800E-01
2.92409E-01,3.200E-03,7.800E-01
2.92413E-01,2.400E-03,7.800E-01
2.92417E-01,1.600E-03,7.600E-01
2.92421E-01,2.400E-03,7.600E-01
2.92425E-01,4.000E-03,7.600E-01
2.92429E-01,3.200E-03,7.800E-01
2.92433E-01,2.400E-03,7.400E-01
2.92437E-01,3.200E-03,7.400E-01
2.92441E-01,3.200E-03,7.800E-01
2.92445E-01,2.400E-03,7.600E-01
2.92449E-01,4.000E-03,7.600E-01
2.92453E-01,2.400E-03,7.600E-01
2.92457E-01,1.600E-03,7.800E-01
2.92461E-01,3.200E-03,7.800E-01
2.92465E-01,2.400E-03,7.800E-01
2.92469E-01,1.600E-03,7.400E-01
2.92473E-01,4.000E-03,7.800E-01
2.92477E-01,2.400E-03,7.800E-01
2.92481E-01,2.400E-03,7.800E-01
2.92485E-01,2.400E-03,7.400E-01
2.92489E-01,3.200E-03,7.400E-01
2.92493E-01,3.200E-03,7.800E-01
2.92497E-01,2.400E-03,7.400E-01
2.92501E-01,3.200E-03,7.600E-01
2.92505E-01,2.400E-03,7.800E-01
2.92509E-01,3.200E-03,7.600E-01
2.92513E-01,3.200E-03,7.800E-01
2.92517E-01,3.200E-03,7.800E-01
2.92521E-01,2.400E-03,7.600E-01
2.92525E-01,2.400E-03,8.200E-01
2.92529E-01,2.400E-03,7.600E-01
2.92533E-01,2.400E-03,7.600E-01
2.92537E-01,2.400E-03,7.600E-01
2.92541E-01,3.200E-03,7.800E-01
2.92545E-01,3.200E-03,7.800E-01
2.92549E-01,2.400E-03,7.800E-01
2.92553E-01,3.200E-03,7.600E-01
2.92557E-01,3.200E-03,7.800E-01
2.92561E-01,3.200E-03,7.400E-01
2.92565E-01,2.400E-03,7.800E-01
2.92569E-01,3.200E-03,7.600E-01
2.92573E-01,3.200E-03,7.600E-01
2.92577E-01,2.400E-03,7.400E-01
2.92581E-01,2.400E-03,7.600E-01
2.92585E-01,1.600E-03,7.800E-01
2.92589E-01,1.600E-03,7.800E-01
2.92593E-01,3.200E-03,7.600E-01
2.92597E-01,2.400E-03,7.800E-01
2.92601E-01,3.200E-03,7.600E-01
2.92605E-01,1.600E-03,7.800E-01
2.92609E-01,3.200E-03,7.800E-01
2.92613E-01,2.400E-03,7.600E-01
2.92617E-01,2.400E-03,7.600E-01
2.92621E-01,3.200E-03,8.000E-01
2.92625E-01,2.400E-03,7.600E-01
2.92629E-01,4.000E-03,7.400E-01
2.92633E-01,3.200E-03,7.600E-01
2.92637E-01,3.200E-03,7.400E-01
2.92641E-01,2.400E-03,7.800E-01
2.92645E-01,2.400E-03,7.800E-01
2.92649E-01,2.400E-03,8.000E-01
2.92653E-01,2.400E-03,7.800E-01
2.92657E-01,2.400E-03,7.800E-01
2.92661E-01,2.400E-03,7.800E-01
2.92665E-01,2.400E-03,8.000E-01
2.92669E-01,3.200E-03,7.600E-01
2.92673E-01,2.400E-03,7.800E-01
2.92677E-01,2.400E-03,7.400E-01
2.92681E-01,2.400E-03,7.600E-01
2.92685E-01,3.200E-03,7.800E-01
2.92689E-01,1.600E-03,7.600E-01
2.92693E-01,2.400E-03,7.600E-01
2.92697E-01,2.400E-03,7.800E-01
2.92701E-01,2.400E-03,7.800E-01
2.92705E-01,2.400E-03,8.000E-01
2.92709E-01,4.000E-03,7.600E-01
2.92713E-01,3.200E-03,7.800E-01
2.92717E-01,1.600E-03,7.600E-01
2.92721E-01,4.800E-03,7.800E-01
2.92725E-01,3.200E-03,7.800E-01
2.92729E-01,4.000E-03,7.600E-01
2.92733E-01,3.200E-03,7.600E-01
2.92737E-01,3.200E-03,7.800E-01
2.92741E-01,2.400E-03,8.200E-01
2.92745E-01,4.000E-03,7.800E-01
2.92749E-01,2.400E-03,7.800E-01
2.92753E-01,2.400E-03,7.400E-01
2.92757E-01,2.400E-03,7.400E-01
2.92761E-01,2.400E-03,7.800E-01
2.92765E-01,1.600E-03,7.600E-01
2.92769E-01,4.000E-03,7.400E-01
2.92773E-01,4.000E-03,8.000E-01
2.92777E-01,4.000E-03,7.800E-01
2.92781E-01,3.200E-03,7.800E-01
2.92785E-01,3.200E-03,7.600E-01
2.92789E-01,4.000E-03,7.400E-01
2.92793E-01,2.400E-03,7.600E-01
2.92797E-01,2.400E-03,7.600E-01
2.92801E-01,3.200E-03,7.800E-01
2.92805E-01,2.400E-03,7.400E-01
2.92810E-01,2.400E-03,7.800E-01
2.92814E-01,3.200E-03,7.600E-01
2.92818E-01,1.600E-03,7.400E-01
2.92822E-01,2.400E-03,8.000E-01
2.92826E-01,3.200E-03,7.800E-01
2.92830E-01,2.400E-03,7.800E-01
2.92834E-01,1.600E-03,7.800E-01
2.92838E-01,3.200E-03,7.800E-01
2.92842E-01,4.000E-03,7.800E-01
2.92846E-01,2.400E-03,8.200E-01
2.92850E-01,4.000E-03,7.600E-01
2.92854E-01,3.200E-03,7.600E-01
