relative Glass Shift,Glass Shift,Glass Shift,Coincidences,s1
0,0,13.79,1622,77000
0.01,0.01,13.8,1135,58000
0.01,0.02,13.81,242,19000
0.01,0.03,13.82,328,22000
0.01,0.04,13.83,1282,63000
0.01,0.05,13.84,1619,75000
0.01,0.06,13.85,863,37000
0.01,0.07,13.86,188,15000
0.01,0.08,13.87,658,45000
0.01,0.09,13.88,1376,72000
0.01,0.1,13.89,1561,60000
0.01,0.11,13.9,530,23000
0.01,0.12,13.91,187,22000
0.02,0.14,13.93,1438,69000
0.02,0.16,13.95,620,27000
0.02,0.18,13.97,817,57000
0.02,0.2,13.99,1140,39000
0.02,0.22,14.01,493,46000
0.02,0.24,14.03,1399,53000
0.02,0.26,14.05,514,39000
0.02,0.28,14.07,1041,54000
0.02,0.3,14.09,1049,42000
0.02,0.32,14.11,655,48000
0.02,0.34,14.13,1234,47000
0.02,0.36,14.15,620,42000
0.02,0.38,14.17,1110,50000
0.02,0.4,14.19,888,42000
0.02,0.42,14.21,735,49000
0.02,0.44,14.23,1122,45000
0.02,0.46,14.25,1039,46000
0.02,0.48,14.27,853,46000
0.02,0.5,14.29,845,46000
0.02,0.52,14.31,987,46000
0.02,0.54,14.33,792,46000
0.02,0.56,14.35,1025,46000
0.02,0.58,14.37,831,46000
0.02,0.6,14.39,912,46000
0.02,0.62,14.41,976,46000
0.02,0.64,14.43,812,47000
0.02,0.66,14.45,990,46000
0.02,0.68,14.47,889,46000
0.02,0.7,14.49,950,46000
0.02,0.72,14.51,961,47000
0.02,0.74,14.53,855,47000
0.02,0.76,14.55,947,47000
0.02,0.78,14.57,908,46000
0.02,0.8,14.59,932,47000
0.02,0.82,14.61,912,47000
0.02,0.84,14.63,889,46000
0.02,0.86,14.65,955,46000
0.02,0.88,14.67,969,47000
0.02,0.9,14.69,915,46000
0.02,0.92,14.71,901,46000
0.02,0.94,14.73,919,47000
0.02,0.96,14.75,902,47000
0.02,0.98,14.77,905,47000
0.02,1,14.79,913,46000
-0.96,0.04,13.83,1014,55000
-0.01,0.03,13.82,166,15000
-0.01,0.02,13.81,522,30000
-0.01,0.01,13.8,1519,72000
-0.01,0,13.79,1673,73000
-0.01,-0.01,13.78,655,27000
-0.01,-0.02,13.77,150,15000
-0.01,-0.03,13.76,844,54000
-0.01,-0.04,13.75,1735,76000
-0.01,-0.05,13.74,1327,50000
-0.01,-0.06,13.73,473,20000
-0.01,-0.07,13.72,297,34000
-0.01,-0.08,13.71,1119,65000
-0.01,-0.09,13.7,1605,66000
-0.01,-0.1,13.69,1205,38000
-0.01,-0.11,13.68,409,26000
-0.01,-0.12,13.67,592,48000
-0.01,-0.13,13.66,1224,64000
-0.01,-0.14,13.65,1599,56000
-0.01,-0.15,13.64,1128,37000
-0.01,-0.16,13.63,421,35000
-0.01,-0.17,13.62,449,48000
-0.01,-0.18,13.61,1189,58000
-0.01,-0.19,13.6,1519,50000
-0.01,-0.2,13.59,985,39000
-0.01,-0.21,13.58,457,39000
-0.01,-0.22,13.57,636,50000
-0.01,-0.23,13.56,1297,54000
-0.01,-0.24,13.55,1377,49000
-0.01,-0.25,13.54,862,42000
-0.01,-0.26,13.53,510,42000
-0.01,-0.27,13.52,752,50000
-0.01,-0.28,13.51,1117,52000
-0.01,-0.29,13.5,1251,48000
-0.02,-0.31,13.48,562,44000
-0.02,-0.33,13.46,1200,50000
-0.02,-0.35,13.44,830,43000
-0.02,-0.37,13.42,855,49000
-0.02,-0.39,13.4,1153,46000
-0.02,-0.41,13.38,736,47000
-0.02,-0.43,13.36,1179,47000
-0.02,-0.45,13.34,836,46000
-0.02,-0.47,13.32,906,47000
-0.02,-0.49,13.3,1005,47000
-0.02,-0.51,13.28,760,46000
-0.02,-0.53,13.26,1051,47000
-0.02,-0.55,13.24,829,46000
-0.02,-0.57,13.22,994,47000
-0.02,-0.59,13.2,944,47000
-0.02,-0.61,13.18,866,47000
-0.02,-0.63,13.16,1024,47000
-0.02,-0.65,13.14,850,47000
-0.02,-0.67,13.12,939,47000
-0.02,-0.69,13.1,971,48000
-0.02,-0.71,13.08,821,47000
-0.02,-0.73,13.06,1006,48000
-0.02,-0.75,13.04,858,47000
-0.02,-0.77,13.02,972,47000
-0.02,-0.79,13,888,46000
-0.02,-0.81,12.98,846,46000
-0.02,-0.83,12.96,943,46000
-0.02,-0.85,12.94,863,46000
-0.02,-0.87,12.92,889,46000
-0.02,-0.89,12.9,873,46000
-0.02,-0.91,12.88,884,46000
-0.02,-0.93,12.86,893,45000
-0.02,-0.95,12.84,853,45000
