[s],CH1[V],CH2[V]
9.395599E-01,-2.000E-03,3.648E-01
9.395599E-01,-8.000E-04,4.416E-01
9.395623E-01,-1.600E-03,3.648E-01
9.395623E-01,-8.000E-04,4.032E-01
9.395647E-01,-1.600E-03,3.648E-01
9.395647E-01,-8.000E-04,4.416E-01
9.395671E-01,-1.600E-03,3.648E-01
9.395671E-01,-8.000E-04,4.416E-01
9.395695E-01,-2.000E-03,3.648E-01
9.395695E-01,-8.000E-04,4.416E-01
9.395719E-01,-2.000E-03,3.648E-01
9.395719E-01,-4.000E-04,4.416E-01
9.395743E-01,-2.000E-03,3.648E-01
9.395743E-01,-8.000E-04,4.032E-01
9.395767E-01,-2.000E-03,3.264E-01
9.395767E-01,-4.000E-04,4.416E-01
9.395791E-01,-1.600E-03,3.648E-01
9.395791E-01,-1.200E-03,4.416E-01
9.395815E-01,-2.000E-03,3.648E-01
9.395815E-01,-8.000E-04,4.416E-01
9.395839E-01,-1.600E-03,3.648E-01
9.395839E-01,-8.000E-04,4.416E-01
9.395863E-01,-2.000E-03,3.648E-01
9.395863E-01,-4.000E-04,4.032E-01
9.395887E-01,-1.600E-03,3.648E-01
9.395887E-01,-8.000E-04,4.032E-01
9.395911E-01,-1.600E-03,3.648E-01
9.395911E-01,-8.000E-04,4.032E-01
9.395935E-01,-2.000E-03,3.648E-01
9.395935E-01,-4.000E-04,4.032E-01
9.395959E-01,-2.000E-03,3.648E-01
9.395959E-01,-4.000E-04,4.032E-01
9.395983E-01,-1.600E-03,3.264E-01
9.395983E-01,-8.000E-04,4.416E-01
9.396007E-01,-2.000E-03,3.264E-01
9.396007E-01,-8.000E-04,4.416E-01
9.396031E-01,-1.600E-03,3.648E-01
9.396031E-01,-8.000E-04,4.032E-01
9.396055E-01,-1.600E-03,3.648E-01
9.396055E-01,-8.000E-04,4.032E-01
9.396079E-01,-2.000E-03,3.648E-01
9.396079E-01,-1.200E-03,4.032E-01
9.396103E-01,-1.600E-03,3.648E-01
9.396103E-01,-8.000E-04,4.416E-01
9.396127E-01,-2.000E-03,3.264E-01
9.396127E-01,-8.000E-04,4.032E-01
9.396151E-01,-1.600E-03,3.264E-01
9.396151E-01,-4.000E-04,4.416E-01
9.396175E-01,-2.000E-03,3.648E-01
9.396175E-01,-4.000E-04,4.032E-01
9.396199E-01,-2.000E-03,3.648E-01
9.396199E-01,-8.000E-04,4.416E-01
9.396223E-01,-2.000E-03,3.648E-01
9.396223E-01,-8.000E-04,4.032E-01
9.396247E-01,-1.600E-03,3.648E-01
9.396247E-01,-8.000E-04,4.032E-01
9.396271E-01,-1.600E-03,3.648E-01
9.396271E-01,-8.000E-04,4.032E-01
9.396295E-01,-1.600E-03,3.648E-01
9.396295E-01,-1.200E-03,4.416E-01
9.396319E-01,-1.600E-03,3.648E-01
9.396319E-01,-8.000E-04,4.032E-01
9.396343E-01,-2.000E-03,3.648E-01
9.396343E-01,-8.000E-04,4.032E-01
9.396367E-01,-1.600E-03,3.648E-01
9.396367E-01,-8.000E-04,4.032E-01
9.396391E-01,-1.600E-03,3.648E-01
9.396391E-01,-4.000E-04,4.032E-01
9.396415E-01,-1.600E-03,3.648E-01
9.396415E-01,-4.000E-04,4.416E-01
9.396439E-01,-1.600E-03,3.648E-01
9.396439E-01,-8.000E-04,4.416E-01
9.396463E-01,-1.600E-03,3.648E-01
9.396463E-01,-8.000E-04,4.416E-01
9.396487E-01,-1.600E-03,3.648E-01
9.396487E-01,-8.000E-04,4.416E-01
9.396511E-01,-1.600E-03,3.648E-01
9.396511E-01,-8.000E-04,4.032E-01
9.396535E-01,-1.600E-03,3.648E-01
9.396535E-01,-8.000E-04,4.032E-01
9.396559E-01,-2.000E-03,3.648E-01
9.396559E-01,-1.200E-03,4.416E-01
9.396583E-01,-2.400E-03,3.648E-01
9.396583E-01,-8.000E-04,4.416E-01
9.396607E-01,-2.000E-03,3.648E-01
9.396607E-01,-8.000E-04,4.416E-01
9.396631E-01,-1.600E-03,3.648E-01
9.396631E-01,-1.200E-03,4.032E-01
9.396655E-01,-1.600E-03,3.648E-01
9.396655E-01,-8.000E-04,4.032E-01
9.396679E-01,-1.600E-03,3.264E-01
9.396679E-01,-4.000E-04,4.416E-01
9.396703E-01,-1.600E-03,3.648E-01
9.396703E-01,-4.000E-04,4.032E-01
9.396727E-01,-1.600E-03,3.648E-01
9.396727E-01,-8.000E-04,4.032E-01
9.396751E-01,-2.000E-03,4.032E-01
9.396751E-01,-8.000E-04,4.032E-01
9.396775E-01,-1.600E-03,3.648E-01
9.396775E-01,-4.000E-04,4.032E-01
9.396799E-01,-1.600E-03,3.648E-01
9.396799E-01,-4.000E-04,4.416E-01
9.396823E-01,-1.600E-03,3.264E-01
9.396823E-01,-8.000E-04,4.416E-01
9.396847E-01,-1.600E-03,3.648E-01
9.396847E-01,-1.200E-03,4.416E-01
9.396871E-01,-1.600E-03,3.648E-01
9.396871E-01,-4.000E-04,4.416E-01
9.396895E-01,-2.000E-03,3.648E-01
9.396895E-01,-8.000E-04,4.032E-01
9.396919E-01,-2.000E-03,3.648E-01
9.396919E-01,-8.000E-04,4.032E-01
9.396943E-01,-2.000E-03,3.648E-01
9.396943E-01,-8.000E-04,4.416E-01
9.396967E-01,-2.000E-03,3.648E-01
9.396967E-01,-4.000E-04,4.416E-01
9.396991E-01,-2.400E-03,3.648E-01
9.396991E-01,-4.000E-04,4.416E-01
9.397015E-01,-2.000E-03,3.648E-01
9.397015E-01,-8.000E-04,4.416E-01
9.397039E-01,-2.000E-03,3.648E-01
9.397039E-01,-8.000E-04,4.032E-01
9.397063E-01,-2.000E-03,3.648E-01
9.397063E-01,-8.000E-04,4.032E-01
9.397087E-01,-1.600E-03,3.648E-01
9.397087E-01,-8.000E-04,4.416E-01
9.397111E-01,-2.000E-03,3.648E-01
9.397111E-01,-8.000E-04,4.416E-01
9.397135E-01,-1.600E-03,3.648E-01
9.397135E-01,-1.200E-03,4.416E-01
9.397159E-01,-2.000E-03,3.648E-01
9.397159E-01,-8.000E-04,4.032E-01
9.397183E-01,-1.600E-03,4.032E-01
9.397183E-01,-8.000E-04,4.416E-01
9.397207E-01,-1.600E-03,3.648E-01
9.397207E-01,-1.200E-03,4.032E-01
9.397231E-01,-1.600E-03,3.648E-01
9.397231E-01,-8.000E-04,4.032E-01
9.397255E-01,-1.600E-03,3.648E-01
9.397255E-01,-8.000E-04,4.416E-01
9.397279E-01,-1.600E-03,3.648E-01
9.397279E-01,-8.000E-04,4.032E-01
9.397303E-01,-2.000E-03,3.648E-01
9.397303E-01,-1.200E-03,4.032E-01
9.397327E-01,-1.600E-03,3.648E-01
9.397327E-01,-8.000E-04,4.032E-01
9.397351E-01,-1.600E-03,3.648E-01
9.397351E-01,-1.200E-03,4.416E-01
9.397375E-01,-1.600E-03,3.648E-01
9.397375E-01,-1.200E-03,4.416E-01
9.397399E-01,-2.000E-03,3.648E-01
9.397399E-01,-1.200E-03,4.416E-01
9.397423E-01,-2.000E-03,3.648E-01
9.397423E-01,-8.000E-04,4.032E-01
9.397447E-01,-2.000E-03,3.648E-01
9.397447E-01,-8.000E-04,4.416E-01
