[s],CH1[V]
5.23600E-01,2.000E-03
5.23640E-01,1.200E-03
5.23680E-01,1.600E-03
5.23720E-01,1.600E-03
5.23760E-01,1.600E-03
5.23800E-01,1.600E-03
5.23840E-01,2.000E-03
5.23880E-01,2.000E-03
5.23920E-01,1.600E-03
5.23960E-01,1.600E-03
5.24000E-01,1.600E-03
5.24040E-01,1.200E-03
5.24080E-01,2.000E-03
5.24120E-01,2.400E-03
5.24160E-01,2.000E-03
5.24200E-01,1.200E-03
5.24240E-01,2.000E-03
5.24280E-01,1.600E-03
5.24320E-01,1.600E-03
5.24360E-01,1.600E-03
5.24400E-01,1.600E-03
5.24440E-01,1.600E-03
5.24480E-01,2.000E-03
5.24520E-01,2.400E-03
5.24560E-01,1.600E-03
5.24601E-01,2.000E-03
5.24641E-01,1.600E-03
5.24681E-01,2.000E-03
5.24721E-01,2.000E-03
5.24761E-01,1.600E-03
5.24801E-01,2.000E-03
5.24841E-01,1.200E-03
5.24881E-01,1.200E-03
5.24921E-01,1.600E-03
5.24961E-01,1.600E-03
5.25001E-01,2.000E-03
5.25041E-01,1.200E-03
5.25081E-01,1.600E-03
5.25121E-01,1.600E-03
5.25161E-01,2.000E-03
5.25201E-01,2.000E-03
5.25241E-01,1.600E-03
5.25281E-01,2.400E-03
5.25321E-01,2.000E-03
5.25361E-01,1.600E-03
5.25401E-01,1.600E-03
5.25441E-01,1.600E-03
5.25481E-01,1.600E-03
5.25521E-01,2.000E-03
5.25561E-01,2.800E-03
5.25601E-01,1.600E-03
5.25641E-01,1.200E-03
5.25681E-01,2.000E-03
5.25721E-01,1.600E-03
5.25761E-01,1.600E-03
5.25801E-01,1.600E-03
5.25841E-01,1.600E-03
5.25881E-01,1.600E-03
5.25921E-01,1.600E-03
5.25961E-01,1.600E-03
5.26001E-01,2.000E-03
5.26041E-01,2.400E-03
5.26081E-01,2.000E-03
5.26121E-01,2.400E-03
5.26161E-01,1.600E-03
5.26201E-01,1.600E-03
5.26241E-01,1.600E-03
5.26281E-01,2.000E-03
5.26321E-01,2.800E-03
5.26361E-01,2.400E-03
5.26401E-01,2.000E-03
5.26441E-01,2.000E-03
5.26481E-01,2.000E-03
5.26521E-01,2.400E-03
5.26561E-01,1.600E-03
5.26602E-01,1.200E-03
5.26642E-01,1.600E-03
5.26682E-01,1.600E-03
5.26722E-01,2.000E-03
5.26762E-01,1.200E-03
5.26802E-01,2.400E-03
5.26842E-01,2.000E-03
5.26882E-01,1.600E-03
5.26922E-01,1.600E-03
5.26962E-01,1.600E-03
