[s],CH1[V]
6.29200E-01,-1.600E-03
6.29240E-01,-4.000E-04
6.29280E-01,-8.000E-04
6.29320E-01,-8.000E-04
6.29360E-01,-4.000E-04
6.29400E-01,-4.000E-04
6.29440E-01,-4.000E-04
6.29480E-01,-4.000E-04
6.29520E-01,-4.000E-04
6.29560E-01,-4.000E-04
6.29600E-01,-4.000E-04
6.29640E-01,-8.000E-04
6.29680E-01,-8.000E-04
6.29720E-01,-8.000E-04
6.29760E-01,-8.000E-04
6.29800E-01,-4.000E-04
6.29840E-01,-4.000E-04
6.29880E-01,-4.000E-04
6.29920E-01,-8.000E-04
6.29960E-01,-4.000E-04
6.30000E-01,-1.200E-03
6.30040E-01,-1.600E-03
6.30080E-01,-1.200E-03
6.30120E-01,-1.200E-03
6.30160E-01,-8.000E-04
6.30201E-01,-1.200E-03
6.30241E-01,-4.000E-04
6.30281E-01,-4.000E-04
6.30321E-01,-8.000E-04
6.30361E-01,-8.000E-04
6.30401E-01,-1.200E-03
6.30441E-01,-8.000E-04
6.30481E-01,-8.000E-04
6.30521E-01,-1.200E-03
6.30561E-01,-1.200E-03
6.30601E-01,-8.000E-04
6.30641E-01,-1.200E-03
6.30681E-01,-8.000E-04
6.30721E-01,-8.000E-04
6.30761E-01,-4.000E-04
6.30801E-01,-8.000E-04
6.30841E-01,-8.000E-04
6.30881E-01,-1.600E-03
6.30921E-01,-1.200E-03
6.30961E-01,-8.000E-04
6.31001E-01,-1.200E-03
6.31041E-01,-1.200E-03
6.31081E-01,-1.200E-03
6.31121E-01,-1.200E-03
6.31161E-01,-1.200E-03
6.31201E-01,-8.000E-04
6.31241E-01,-1.600E-03
6.31281E-01,-1.600E-03
6.31321E-01,-8.000E-04
6.31361E-01,-1.200E-03
6.31401E-01,-1.600E-03
6.31441E-01,-1.600E-03
6.31481E-01,-1.600E-03
6.31521E-01,-1.200E-03
6.31561E-01,-1.200E-03
6.31601E-01,-1.200E-03
6.31641E-01,-1.200E-03
6.31681E-01,-1.600E-03
6.31721E-01,-1.200E-03
6.31761E-01,-1.200E-03
6.31801E-01,-1.200E-03
6.31841E-01,-1.200E-03
6.31881E-01,-1.200E-03
6.31921E-01,-8.000E-04
6.31961E-01,-1.200E-03
6.32001E-01,-1.200E-03
6.32041E-01,-8.000E-04
6.32081E-01,-1.200E-03
6.32121E-01,-1.200E-03
6.32161E-01,-1.200E-03
6.32202E-01,-1.200E-03
6.32242E-01,-2.000E-03
6.32282E-01,-1.600E-03
6.32322E-01,-1.600E-03
6.32362E-01,-2.000E-03
6.32402E-01,-1.600E-03
6.32442E-01,-2.000E-03
6.32482E-01,-2.000E-03
6.32522E-01,-1.200E-03
6.32562E-01,-1.600E-03
6.32602E-01,-1.200E-03
6.32642E-01,-1.600E-03
6.32682E-01,-1.600E-03
6.32722E-01,-1.200E-03
6.32762E-01,-1.600E-03
6.32802E-01,-1.200E-03
6.32842E-01,-1.200E-03
6.32882E-01,-2.000E-03
6.32922E-01,-1.600E-03
6.32962E-01,-1.200E-03
6.33002E-01,-1.200E-03
6.33042E-01,-1.600E-03
6.33082E-01,-8.000E-04
6.33122E-01,-1.200E-03
6.33162E-01,-1.200E-03
6.33202E-01,-1.200E-03
6.33242E-01,-1.200E-03
6.33282E-01,-2.000E-03
6.33322E-01,-1.600E-03
6.33362E-01,-1.200E-03
6.33402E-01,-1.200E-03
6.33442E-01,-1.600E-03
6.33482E-01,-1.200E-03
6.33522E-01,-1.200E-03
6.33562E-01,-1.600E-03
6.33602E-01,-1.200E-03
6.33642E-01,-8.000E-04
6.33682E-01,-1.200E-03
6.33722E-01,-1.200E-03
6.33762E-01,-1.200E-03
6.33802E-01,-1.600E-03
6.33842E-01,-2.000E-03
6.33882E-01,-1.200E-03
6.33922E-01,-1.200E-03
6.33962E-01,-1.600E-03
6.34002E-01,-2.000E-03
6.34042E-01,-1.200E-03
6.34082E-01,-1.600E-03
6.34122E-01,-1.600E-03
6.34162E-01,-1.200E-03
6.34203E-01,-1.600E-03
6.34243E-01,-1.600E-03
6.34283E-01,-1.600E-03
6.34323E-01,-1.600E-03
6.34363E-01,-1.600E-03
6.34403E-01,-4.000E-04
6.34443E-01,-1.200E-03
6.34483E-01,-1.600E-03
6.34523E-01,-1.200E-03
6.34563E-01,-1.600E-03
6.34603E-01,-1.200E-03
6.34643E-01,-2.000E-03
6.34683E-01,-1.200E-03
6.34723E-01,-1.200E-03
6.34763E-01,-1.200E-03
6.34803E-01,-1.200E-03
6.34843E-01,-1.600E-03
6.34883E-01,-1.200E-03
6.34923E-01,-1.200E-03
6.34963E-01,-1.200E-03
6.35003E-01,-1.600E-03
6.35043E-01,-1.200E-03
6.35083E-01,-1.200E-03
6.35123E-01,-1.200E-03
6.35163E-01,-1.600E-03
6.35203E-01,-1.200E-03
6.35243E-01,-1.600E-03
