[s],CH1[V],CH2[V]
9.994399E-01,8.000E-04,9.408E-01
9.994399E-01,2.400E-03,9.792E-01
9.994423E-01,1.200E-03,9.408E-01
9.994423E-01,2.000E-03,9.792E-01
9.994447E-01,1.200E-03,9.408E-01
9.994447E-01,2.400E-03,9.792E-01
9.994471E-01,8.000E-04,9.024E-01
9.994471E-01,2.400E-03,9.792E-01
9.994495E-01,1.200E-03,9.408E-01
9.994495E-01,2.000E-03,9.792E-01
9.994519E-01,1.200E-03,9.408E-01
9.994519E-01,2.400E-03,9.792E-01
9.994543E-01,1.200E-03,9.408E-01
9.994543E-01,2.400E-03,9.792E-01
9.994567E-01,1.200E-03,9.408E-01
9.994567E-01,2.000E-03,1.018E+00
9.994591E-01,1.200E-03,9.408E-01
9.994591E-01,2.000E-03,9.792E-01
9.994615E-01,1.200E-03,9.408E-01
9.994615E-01,2.400E-03,9.792E-01
9.994639E-01,1.200E-03,9.408E-01
9.994639E-01,2.000E-03,9.792E-01
9.994663E-01,1.200E-03,9.408E-01
9.994663E-01,2.400E-03,1.018E+00
9.994687E-01,8.000E-04,9.408E-01
9.994687E-01,2.400E-03,9.792E-01
9.994711E-01,8.000E-04,9.408E-01
9.994711E-01,2.400E-03,1.018E+00
9.994735E-01,1.200E-03,9.408E-01
9.994735E-01,2.000E-03,1.018E+00
9.994759E-01,8.000E-04,9.024E-01
9.994759E-01,2.000E-03,9.792E-01
9.994783E-01,8.000E-04,9.408E-01
9.994783E-01,2.400E-03,9.792E-01
9.994807E-01,1.200E-03,9.024E-01
9.994807E-01,2.400E-03,9.792E-01
9.994831E-01,1.200E-03,9.408E-01
9.994831E-01,1.600E-03,1.018E+00
9.994855E-01,8.000E-04,9.408E-01
9.994855E-01,2.000E-03,9.792E-01
9.994879E-01,8.000E-04,9.408E-01
9.994879E-01,2.000E-03,9.792E-01
9.994903E-01,8.000E-04,9.024E-01
9.994903E-01,2.000E-03,9.792E-01
9.994927E-01,8.000E-04,9.408E-01
9.994927E-01,2.000E-03,9.792E-01
9.994951E-01,8.000E-04,9.024E-01
9.994951E-01,2.000E-03,9.792E-01
9.994975E-01,8.000E-04,9.024E-01
9.994975E-01,2.000E-03,9.792E-01
9.994999E-01,1.200E-03,9.408E-01
9.994999E-01,2.000E-03,9.792E-01
9.995023E-01,1.200E-03,9.408E-01
9.995023E-01,2.400E-03,9.792E-01
9.995047E-01,1.200E-03,9.408E-01
9.995047E-01,2.400E-03,9.792E-01
9.995071E-01,1.200E-03,9.408E-01
9.995071E-01,2.400E-03,1.018E+00
9.995095E-01,8.000E-04,9.408E-01
9.995095E-01,2.400E-03,1.018E+00
9.995119E-01,4.000E-04,9.408E-01
9.995119E-01,2.000E-03,9.792E-01
9.995143E-01,4.000E-04,9.408E-01
9.995143E-01,2.400E-03,1.018E+00
9.995167E-01,1.200E-03,9.408E-01
9.995167E-01,2.000E-03,9.792E-01
9.995191E-01,8.000E-04,9.408E-01
9.995191E-01,2.400E-03,9.792E-01
9.995215E-01,8.000E-04,9.408E-01
9.995215E-01,2.000E-03,9.792E-01
