[s],CH1[V],CH2[V]
9.511601E-01,-1.600E-03,4.032E-01
9.511601E-01,-8.000E-04,4.800E-01
9.511625E-01,-1.600E-03,4.032E-01
9.511625E-01,-8.000E-04,4.800E-01
9.511649E-01,-2.000E-03,4.032E-01
9.511649E-01,-8.000E-04,4.800E-01
9.511673E-01,-2.400E-03,4.032E-01
9.511673E-01,-1.200E-03,4.416E-01
9.511697E-01,-2.000E-03,4.032E-01
9.511697E-01,-1.200E-03,4.416E-01
9.511721E-01,-1.600E-03,4.032E-01
9.511721E-01,-1.200E-03,4.800E-01
9.511745E-01,-2.000E-03,4.032E-01
9.511745E-01,-8.000E-04,4.800E-01
9.511769E-01,-2.000E-03,4.032E-01
9.511769E-01,-8.000E-04,4.800E-01
9.511793E-01,-1.600E-03,4.032E-01
9.511793E-01,-1.200E-03,4.800E-01
9.511817E-01,-2.000E-03,4.032E-01
9.511817E-01,-8.000E-04,4.800E-01
9.511841E-01,-2.000E-03,4.032E-01
9.511841E-01,-8.000E-04,4.800E-01
9.511865E-01,-2.000E-03,4.032E-01
9.511865E-01,-8.000E-04,4.416E-01
9.511889E-01,-2.000E-03,4.032E-01
9.511889E-01,-8.000E-04,4.416E-01
9.511913E-01,-1.600E-03,4.032E-01
9.511913E-01,-1.200E-03,4.416E-01
9.511937E-01,-2.000E-03,4.032E-01
9.511937E-01,-8.000E-04,4.416E-01
9.511961E-01,-2.000E-03,4.032E-01
9.511961E-01,-1.200E-03,4.416E-01
9.511985E-01,-2.000E-03,4.032E-01
9.511985E-01,-1.200E-03,4.416E-01
9.512009E-01,-2.000E-03,4.032E-01
9.512009E-01,-1.200E-03,4.416E-01
9.512033E-01,-2.000E-03,4.032E-01
9.512033E-01,-1.200E-03,4.800E-01
9.512057E-01,-2.000E-03,3.648E-01
9.512057E-01,-1.200E-03,4.416E-01
9.512081E-01,-2.000E-03,3.648E-01
9.512081E-01,-1.200E-03,4.416E-01
9.512105E-01,-1.600E-03,4.032E-01
9.512105E-01,-1.200E-03,4.416E-01
9.512129E-01,-2.000E-03,4.032E-01
9.512129E-01,-8.000E-04,4.416E-01
9.512153E-01,-2.000E-03,4.032E-01
9.512153E-01,-8.000E-04,4.800E-01
9.512177E-01,-1.600E-03,4.032E-01
9.512177E-01,-1.200E-03,4.416E-01
9.512201E-01,-2.400E-03,4.032E-01
9.512201E-01,-1.200E-03,4.800E-01
9.512225E-01,-2.400E-03,4.032E-01
9.512225E-01,-1.200E-03,4.800E-01
9.512249E-01,-2.000E-03,4.032E-01
9.512249E-01,-8.000E-04,4.800E-01
9.512273E-01,-2.000E-03,4.032E-01
9.512273E-01,-8.000E-04,4.800E-01
9.512297E-01,-2.000E-03,4.032E-01
9.512297E-01,-1.200E-03,4.800E-01
9.512321E-01,-1.600E-03,4.032E-01
9.512321E-01,-8.000E-04,4.416E-01
9.512345E-01,-2.400E-03,4.032E-01
9.512345E-01,-8.000E-04,4.800E-01
9.512369E-01,-2.400E-03,4.032E-01
9.512369E-01,-8.000E-04,4.416E-01
9.512393E-01,-2.000E-03,4.032E-01
9.512393E-01,-1.200E-03,4.416E-01
9.512417E-01,-2.000E-03,4.032E-01
9.512417E-01,-8.000E-04,4.800E-01
9.512441E-01,-2.000E-03,4.032E-01
9.512441E-01,-8.000E-04,4.800E-01
9.512465E-01,-2.000E-03,4.032E-01
9.512465E-01,-8.000E-04,4.800E-01
9.512489E-01,-2.000E-03,4.032E-01
